cluster_id,cluster_size,percentage,top_terms,representative_examples,proposed_label,final_intent_label,review_status
0,3108,15.54,fix; user fix; letter; type; question; glitch; shit; mark; question mark; user user,<USER> you need to fix this “A” shit when I️ put mf “I️” || <USER> y’all better fix these question marks that keep popping up whenever I️ try to use a damn I️ || <USER> girl “I️” gotta be fixed immediately!!! || <USER> can you fix the I️ now?? Sick of this! 😐,keyboard_typing_glitch,,pending
1,1621,8.11,battery; ios; iphone; battery life; life; update; ios11; draining; phone; user battery,"<USER> the battery drain is a bit much. iOS 11.0.2 on a A1533 iPhone 5S. <URL> || <USER> I upgraded my iPhone7 to 8 to get rid of the problems iOS11 caused,now Iphone8 is worse,battery runs out in no time... || Recent updates for <USER> #iphone just suck the battery dry, down to less than 7% 3 Times today not to mention everything is laggy and slow. Give me iOS 9 back! || <USER> Battery life terrible since downloading IOS 11.1 on my 6S. Even in Low Power mode, battery life dropping 1% every 2 minutes!",battery_power_issue,,pending
2,3220,16.1,phone; iphone; user iphone; new; user user; just; user phone; fix; screen; shit,"The new iPhone came out and my phone has not stopped acting up (-: <USER> you dirty for this. || <USER> why is my iPhone 8 going dead within two hours??? Need to swap to team #Samsung || This is the buggiest my iPhone has ever been. Ever. No bueno, <USER> . || <USER> <USER> my wife burned her hand while using her IPhone. What should we do? We live in Chile. #Help",possible_display_hardware_issue,,pending
3,2690,13.45,ios; ios11; iphone; update; user ios; user user; phone; fix; app; ios update,"<USER> since I upgraded to iOS 11.0.3 my phone just giving issues,it just on life support (started with 11.0.1) 😩 || <USER> what is going on with iOS 11 it’s stopped my whatsapp working and has bugs v annoyed || The latest <USER> IOS 11.0.2 update has caused more bugs on my iPhone 7 than the 10 Plagues of Moses. #apple #buglife #biblicalproportions || <USER> the new IOS 11.0.2 is a DISASTER. Don't fix what isn't broken. Keep your 10.3.3. ppl #androidsuckstootho #goingbacktolandline",software_update_issue,,pending
4,2246,11.23,store; iphone; icloud; itunes; user user; app; email; account; music; pay,"<USER> i opened case to Apple regarding my 5s on 16th of September case number is 100307876369.I have been waiting for swap. || <USER> thank you for wasting my time Im now spending over 30 min on the phone just to try and speak to the store manager @ arden fair || <USER> I had a very bad experience at Mapple store,Apple authorised store.They are cheating openly.I lost trust on Apple wil never buy again || <USER> Hi, I study in Thailand and I subscribe for apple music student edition via <USER>. I am notified to verify my student account via unidays but Thailand is not on unidays supporting list. Are there other ways to verify my student status?",app_store_billing_issue,,pending
5,2903,14.52,music; macbook; user user; app; sierra; mac; just; screen; fix; update,"LEAGUE PASS, YOU'RE FAILING ME AGAIN! <USER> I feel like this one is <USER>'s fault though, some safari pop-up keeps showing. || <USER> your reportaproblem page just keeps refreshing instead of allowing me to sign in. || Can anyone else open projects in GarageBand 2.3? Does <USER> know this is a problem? It’s not listed online as a troubleshoot option || EYE ( <USER> please fix this) was surprised at the number of student musicians that showed up early on a Saturday morning. Kids are committed; school boards, dept of edu on the other hand...🤷🏾‍♀️",possible_software_update_issue,,pending
6,2210,11.05,update; phone; new; updated; new update; iphone; update phone; user update; updated phone; updates,"The latest update fucks up my phone,thanks <USER> || Phone non stop messing up since downloading the update, I know your game <USER> || <USER> Fix your phones. This new update is garbage || My phone is hardly functional with this update lol <USER>",software_update_issue,,pending
7,2002,10.01,user url; user user; fix; shit; user fix; fix url; wtf; user help; email; need,"<USER> <USER> dude wassup the Square <URL> || Guess she didn’t know how to help me thanks <USER> <URL> || <USER> you’re killing me smalls <URL> || I feel like we never used to see this from <USER>. Could be just me, but watch how janky the transition is from an arrow to a straight line <URL>",possible_keyboard_typing_glitch,,pending
