conversation_id,tweet_id,anomaly_type,details
conv_AppleSupport_6658,6658,missing_child_tweet,Tweet 6658 lists response 6729 not present in dataset.
conv_AppleSupport_6658,6658,missing_child_tweet,Tweet 6658 lists response 6731 not present in dataset.
conv_AppleSupport_6658,6658,missing_child_tweet,Tweet 6658 lists response 6732 not present in dataset.
conv_AppleSupport_6658,6658,missing_child_tweet,Tweet 6658 lists response 6733 not present in dataset.
conv_AppleSupport_6658,6658,missing_child_tweet,Tweet 6658 lists response 6735 not present in dataset.
conv_AppleSupport_6658,6658,missing_child_tweet,Tweet 6658 lists response 6736 not present in dataset.
conv_AppleSupport_6658,6658,missing_child_tweet,Tweet 6658 lists response 6738 not present in dataset.
conv_AppleSupport_6658,6658,missing_child_tweet,Tweet 6658 lists response 6739 not present in dataset.
conv_AppleSupport_6658,6658,missing_child_tweet,Tweet 6658 lists response 6740 not present in dataset.
conv_AppleSupport_6658,6658,missing_child_tweet,Tweet 6658 lists response 6741 not present in dataset.
conv_AppleSupport_6658,6658,missing_child_tweet,Tweet 6658 lists response 6742 not present in dataset.
conv_AppleSupport_6658,6658,missing_child_tweet,Tweet 6658 lists response 6743 not present in dataset.
conv_AppleSupport_6658,6658,missing_child_tweet,Tweet 6658 lists response 6744 not present in dataset.
conv_AppleSupport_6658,6658,missing_child_tweet,Tweet 6658 lists response 6745 not present in dataset.
conv_AppleSupport_6658,6658,missing_child_tweet,Tweet 6658 lists response 6747 not present in dataset.
conv_AppleSupport_6658,6658,missing_child_tweet,Tweet 6658 lists response 6748 not present in dataset.
conv_AppleSupport_6658,6658,missing_child_tweet,Tweet 6658 lists response 6749 not present in dataset.
conv_AppleSupport_6658,6658,missing_child_tweet,Tweet 6658 lists response 6750 not present in dataset.
conv_AppleSupport_6658,6658,missing_child_tweet,Tweet 6658 lists response 6751 not present in dataset.
conv_AppleSupport_6658,6658,missing_child_tweet,Tweet 6658 lists response 6754 not present in dataset.
conv_AppleSupport_6658,6658,missing_child_tweet,Tweet 6658 lists response 6756 not present in dataset.
conv_AppleSupport_6658,6658,missing_child_tweet,Tweet 6658 lists response 6757 not present in dataset.
conv_AppleSupport_6658,6658,missing_child_tweet,Tweet 6658 lists response 6758 not present in dataset.
conv_AppleSupport_6658,6658,missing_child_tweet,Tweet 6658 lists response 6760 not present in dataset.
conv_AppleSupport_6658,6658,missing_child_tweet,Tweet 6658 lists response 6762 not present in dataset.
conv_AppleSupport_6658,6658,missing_child_tweet,Tweet 6658 lists response 6763 not present in dataset.
conv_AppleSupport_6658,6658,missing_child_tweet,Tweet 6658 lists response 6764 not present in dataset.
conv_AppleSupport_6658,6658,missing_child_tweet,Tweet 6658 lists response 6765 not present in dataset.
conv_AppleSupport_6658,6658,missing_child_tweet,Tweet 6658 lists response 6768 not present in dataset.
conv_AppleSupport_6658,6658,missing_child_tweet,Tweet 6658 lists response 6774 not present in dataset.
conv_AppleSupport_6658,6658,missing_child_tweet,Tweet 6658 lists response 6775 not present in dataset.
conv_AppleSupport_6658,6658,missing_child_tweet,Tweet 6658 lists response 6776 not present in dataset.
conv_AppleSupport_6658,6658,missing_child_tweet,Tweet 6658 lists response 6777 not present in dataset.
conv_AppleSupport_6658,6658,missing_child_tweet,Tweet 6658 lists response 6780 not present in dataset.
conv_AppleSupport_6658,6658,missing_child_tweet,Tweet 6658 lists response 6781 not present in dataset.
conv_AppleSupport_6658,6658,missing_child_tweet,Tweet 6658 lists response 6782 not present in dataset.
conv_AppleSupport_6658,6658,missing_child_tweet,Tweet 6658 lists response 6783 not present in dataset.
conv_AppleSupport_6658,6658,missing_child_tweet,Tweet 6658 lists response 6785 not present in dataset.
conv_AppleSupport_6658,6658,missing_child_tweet,Tweet 6658 lists response 6786 not present in dataset.
conv_AppleSupport_6658,6658,missing_child_tweet,Tweet 6658 lists response 6788 not present in dataset.
conv_AppleSupport_6658,6658,missing_child_tweet,Tweet 6658 lists response 6792 not present in dataset.
conv_AppleSupport_6658,6658,missing_child_tweet,Tweet 6658 lists response 6793 not present in dataset.
conv_AppleSupport_6658,6658,missing_child_tweet,Tweet 6658 lists response 6795 not present in dataset.
conv_AppleSupport_6658,6658,missing_child_tweet,Tweet 6658 lists response 6796 not present in dataset.
conv_AppleSupport_6658,6658,missing_child_tweet,Tweet 6658 lists response 6800 not present in dataset.
conv_AppleSupport_6658,6658,missing_child_tweet,Tweet 6658 lists response 6801 not present in dataset.
conv_AppleSupport_6658,6658,missing_child_tweet,Tweet 6658 lists response 6802 not present in dataset.
conv_AppleSupport_6658,6658,missing_child_tweet,Tweet 6658 lists response 6803 not present in dataset.
conv_AppleSupport_6658,6658,missing_child_tweet,Tweet 6658 lists response 6805 not present in dataset.
conv_AppleSupport_6658,6658,missing_child_tweet,Tweet 6658 lists response 6806 not present in dataset.
conv_AppleSupport_6658,6658,missing_child_tweet,Tweet 6658 lists response 6807 not present in dataset.
conv_AppleSupport_6658,6658,missing_child_tweet,Tweet 6658 lists response 6810 not present in dataset.
conv_AppleSupport_6658,6658,missing_child_tweet,Tweet 6658 lists response 6811 not present in dataset.
conv_AppleSupport_6658,6658,missing_child_tweet,Tweet 6658 lists response 6812 not present in dataset.
conv_AppleSupport_6658,6658,missing_child_tweet,Tweet 6658 lists response 6814 not present in dataset.
conv_AppleSupport_6658,6658,missing_child_tweet,Tweet 6658 lists response 6817 not present in dataset.
conv_AppleSupport_6658,6658,missing_child_tweet,Tweet 6658 lists response 6818 not present in dataset.
conv_AppleSupport_6658,6658,missing_child_tweet,Tweet 6658 lists response 6819 not present in dataset.
conv_AppleSupport_6658,6658,missing_child_tweet,Tweet 6658 lists response 6820 not present in dataset.
conv_AppleSupport_6658,6658,missing_child_tweet,Tweet 6658 lists response 6821 not present in dataset.
conv_AppleSupport_6658,6658,missing_child_tweet,Tweet 6658 lists response 6822 not present in dataset.
conv_AppleSupport_6658,6658,missing_child_tweet,Tweet 6658 lists response 6824 not present in dataset.
conv_AppleSupport_6658,6658,missing_child_tweet,Tweet 6658 lists response 6825 not present in dataset.
conv_AppleSupport_6658,6658,missing_child_tweet,Tweet 6658 lists response 6826 not present in dataset.
conv_AppleSupport_6658,6658,missing_child_tweet,Tweet 6658 lists response 6827 not present in dataset.
conv_AppleSupport_6658,6658,missing_child_tweet,Tweet 6658 lists response 6830 not present in dataset.
conv_AppleSupport_6658,6658,missing_child_tweet,Tweet 6658 lists response 6834 not present in dataset.
conv_AppleSupport_6658,6658,missing_child_tweet,Tweet 6658 lists response 6835 not present in dataset.
conv_AppleSupport_6658,6658,missing_child_tweet,Tweet 6658 lists response 6836 not present in dataset.
conv_AppleSupport_6658,6658,missing_child_tweet,Tweet 6658 lists response 6837 not present in dataset.
conv_AppleSupport_6658,6658,missing_child_tweet,Tweet 6658 lists response 6838 not present in dataset.
conv_AppleSupport_6658,6658,missing_child_tweet,Tweet 6658 lists response 6840 not present in dataset.
conv_AppleSupport_6658,6658,missing_child_tweet,Tweet 6658 lists response 6841 not present in dataset.
conv_AppleSupport_6658,6658,missing_child_tweet,Tweet 6658 lists response 6842 not present in dataset.
conv_AppleSupport_6658,6658,missing_child_tweet,Tweet 6658 lists response 6843 not present in dataset.
conv_AppleSupport_6658,6658,missing_child_tweet,Tweet 6658 lists response 6844 not present in dataset.
conv_AppleSupport_6658,6658,missing_child_tweet,Tweet 6658 lists response 6845 not present in dataset.
conv_AppleSupport_6658,6658,missing_child_tweet,Tweet 6658 lists response 6846 not present in dataset.
conv_AppleSupport_6658,6658,missing_child_tweet,Tweet 6658 lists response 6847 not present in dataset.
conv_AppleSupport_6658,6658,missing_child_tweet,Tweet 6658 lists response 6848 not present in dataset.
conv_AppleSupport_6658,6658,missing_child_tweet,Tweet 6658 lists response 6850 not present in dataset.
conv_AppleSupport_6658,6658,missing_child_tweet,Tweet 6658 lists response 6851 not present in dataset.
conv_AppleSupport_6658,6658,missing_child_tweet,Tweet 6658 lists response 6853 not present in dataset.
conv_AppleSupport_6658,6658,missing_child_tweet,Tweet 6658 lists response 6854 not present in dataset.
conv_AppleSupport_6658,6658,missing_child_tweet,Tweet 6658 lists response 6856 not present in dataset.
conv_AppleSupport_6658,6658,missing_child_tweet,Tweet 6658 lists response 6857 not present in dataset.
conv_AppleSupport_6658,6658,missing_child_tweet,Tweet 6658 lists response 6862 not present in dataset.
conv_AppleSupport_6658,6658,missing_child_tweet,Tweet 6658 lists response 6863 not present in dataset.
conv_AppleSupport_6658,6658,missing_child_tweet,Tweet 6658 lists response 6864 not present in dataset.
conv_AppleSupport_6658,6658,missing_child_tweet,Tweet 6658 lists response 6865 not present in dataset.
conv_AppleSupport_6658,6658,missing_child_tweet,Tweet 6658 lists response 6866 not present in dataset.
conv_AppleSupport_6658,6658,missing_child_tweet,Tweet 6658 lists response 6867 not present in dataset.
conv_AppleSupport_6658,6658,missing_child_tweet,Tweet 6658 lists response 6868 not present in dataset.
conv_AppleSupport_6658,6658,missing_child_tweet,Tweet 6658 lists response 6870 not present in dataset.
conv_AppleSupport_6658,6658,missing_child_tweet,Tweet 6658 lists response 6871 not present in dataset.
conv_AppleSupport_6658,6658,missing_child_tweet,Tweet 6658 lists response 6872 not present in dataset.
conv_AppleSupport_6658,6658,missing_child_tweet,Tweet 6658 lists response 6873 not present in dataset.
conv_AppleSupport_6658,6658,missing_child_tweet,Tweet 6658 lists response 6875 not present in dataset.
conv_AppleSupport_6658,6658,missing_child_tweet,Tweet 6658 lists response 6876 not present in dataset.
conv_AppleSupport_6658,6658,missing_child_tweet,Tweet 6658 lists response 6877 not present in dataset.
conv_AppleSupport_6658,6658,missing_child_tweet,Tweet 6658 lists response 6878 not present in dataset.
conv_AppleSupport_6658,6658,missing_child_tweet,Tweet 6658 lists response 6879 not present in dataset.
conv_AppleSupport_6658,6658,missing_child_tweet,Tweet 6658 lists response 6880 not present in dataset.
conv_AppleSupport_6658,6658,missing_child_tweet,Tweet 6658 lists response 6881 not present in dataset.
conv_AppleSupport_6658,6658,missing_child_tweet,Tweet 6658 lists response 6882 not present in dataset.
conv_AppleSupport_6658,6658,missing_child_tweet,Tweet 6658 lists response 6883 not present in dataset.
conv_AppleSupport_6658,6658,missing_child_tweet,Tweet 6658 lists response 6884 not present in dataset.
conv_AppleSupport_6658,6658,missing_child_tweet,Tweet 6658 lists response 6885 not present in dataset.
conv_AppleSupport_6658,6658,missing_child_tweet,Tweet 6658 lists response 6886 not present in dataset.
conv_AppleSupport_6658,6658,missing_child_tweet,Tweet 6658 lists response 6888 not present in dataset.
conv_AppleSupport_6658,6658,missing_child_tweet,Tweet 6658 lists response 6890 not present in dataset.
conv_AppleSupport_6658,6658,missing_child_tweet,Tweet 6658 lists response 6891 not present in dataset.
conv_AppleSupport_6658,6658,missing_child_tweet,Tweet 6658 lists response 6894 not present in dataset.
conv_AppleSupport_6658,6658,missing_child_tweet,Tweet 6658 lists response 6895 not present in dataset.
conv_AppleSupport_6658,6670,missing_child_tweet,Tweet 6670 lists response 255825 not present in dataset.
conv_AppleSupport_6658,6670,missing_child_tweet,Tweet 6670 lists response 255826 not present in dataset.
conv_AppleSupport_6658,6755,missing_child_tweet,Tweet 6755 lists response 291803 not present in dataset.
conv_AppleSupport_6658,6668,missing_child_tweet,Tweet 6668 lists response 684388 not present in dataset.
conv_AppleSupport_6658,6668,missing_child_tweet,Tweet 6668 lists response 684389 not present in dataset.
conv_AppleSupport_6658,6859,missing_child_tweet,Tweet 6859 lists response 697547 not present in dataset.
conv_AppleSupport_6658,6869,missing_child_tweet,Tweet 6869 lists response 764679 not present in dataset.
conv_AppleSupport_6658,6787,missing_child_tweet,Tweet 6787 lists response 768186 not present in dataset.
conv_AppleSupport_6658,6688,missing_child_tweet,Tweet 6688 lists response 2051230 not present in dataset.
conv_AppleSupport_6658,6813,missing_child_tweet,Tweet 6813 lists response 2052025 not present in dataset.
conv_AppleSupport_6658,6772,missing_child_tweet,Tweet 6772 lists response 2057071 not present in dataset.
conv_AppleSupport_8331,8331,missing_child_tweet,Tweet 8331 lists response 8332 not present in dataset.
conv_AppleSupport_8561,8561,missing_child_tweet,Tweet 8561 lists response 8565 not present in dataset.
conv_AppleSupport_8570,8570,missing_child_tweet,Tweet 8570 lists response 8571 not present in dataset.
conv_AppleSupport_9162,9162,missing_child_tweet,Tweet 9162 lists response 9163 not present in dataset.
conv_AppleSupport_9200,9200,missing_child_tweet,Tweet 9200 lists response 9201 not present in dataset.
conv_AppleSupport_9200,9200,missing_child_tweet,Tweet 9200 lists response 9202 not present in dataset.
conv_AppleSupport_9200,9200,missing_child_tweet,Tweet 9200 lists response 9203 not present in dataset.
conv_AppleSupport_9200,9200,missing_child_tweet,Tweet 9200 lists response 9205 not present in dataset.
conv_AppleSupport_9200,9200,missing_child_tweet,Tweet 9200 lists response 9206 not present in dataset.
conv_AppleSupport_9200,9200,missing_child_tweet,Tweet 9200 lists response 9207 not present in dataset.
conv_AppleSupport_9200,9200,missing_child_tweet,Tweet 9200 lists response 9208 not present in dataset.
conv_AppleSupport_9200,9200,missing_child_tweet,Tweet 9200 lists response 9209 not present in dataset.
conv_AppleSupport_9200,9200,missing_child_tweet,Tweet 9200 lists response 9210 not present in dataset.
