conversation_id,message_count,thread_type,has_branching,has_anomalies,quality_status
conv_AppleSupport_2743086,2,customer_brand,False,False,high
conv_AppleSupport_2743089,3,customer_brand_customer,False,False,high
conv_AppleSupport_2744216,2,customer_brand,False,False,high
conv_AppleSupport_2744221,2,customer_brand,False,False,high
conv_AppleSupport_2744223,2,customer_brand,False,False,high
conv_AppleSupport_2744225,2,customer_brand,False,False,high
conv_AppleSupport_2744227,2,customer_brand,False,False,high
conv_AppleSupport_2744229,2,customer_brand,False,False,high
conv_AppleSupport_2744231,2,customer_brand,False,False,high
conv_AppleSupport_2744236,5,multi_turn,False,False,high
conv_AppleSupport_2744238,2,customer_brand,False,False,high
conv_AppleSupport_2744240,2,customer_brand,False,False,high
conv_AppleSupport_2744242,2,customer_brand,False,False,high
conv_AppleSupport_2744245,3,multi_turn,False,False,high
conv_AppleSupport_2744247,2,customer_brand,False,False,high
conv_AppleSupport_2744249,2,customer_brand,False,False,high
conv_AppleSupport_2744252,3,multi_turn,False,False,high
conv_AppleSupport_2744254,2,customer_brand,False,False,high
conv_AppleSupport_2744256,2,customer_brand,False,False,high
conv_AppleSupport_2744258,2,customer_brand,False,False,high
conv_AppleSupport_2744260,2,customer_brand,False,False,high
conv_AppleSupport_2744262,2,customer_brand,False,False,high
conv_AppleSupport_2744264,2,customer_brand,False,False,high
conv_AppleSupport_2744266,2,customer_brand,False,False,high
conv_AppleSupport_2744269,3,multi_turn,False,False,high
conv_AppleSupport_2744271,2,customer_brand,False,False,high
conv_AppleSupport_2744273,2,customer_brand,False,False,high
conv_AppleSupport_2744275,2,customer_brand,False,False,high
conv_AppleSupport_2744278,3,customer_brand_customer,False,False,high
conv_AppleSupport_2746076,6,multi_turn,False,False,high
conv_AppleSupport_2746086,7,multi_turn,False,False,high
conv_AppleSupport_2746088,2,customer_brand,False,False,high
conv_AppleSupport_2746090,2,customer_brand,False,False,high
conv_AppleSupport_2746095,5,multi_turn,False,False,high
